key,ko,en,vi,comment
"editor.placementSwapNoTargets","현재 session에서 design 교체를 지원하는 feature 배치 대상이 없습니다. descriptor-driven layout adapter가 없는 대상은 목록에 포함되지 않습니다.","No feature placement targets support design swap in this session. Entries without a descriptor-driven layout adapter are not listed.","Khong co doi tuong feature placement ho tro doi design trong session nay. Cac entry khong co descriptor-driven layout adapter se khong nam trong danh sach.","Web editor"
"editor.uiContentSelectPlayable","플레이어블을 선택하면 필수 UI content 교체를 사용할 수 있습니다.","Select a playable to replace required UI content.","Chon playable de doi UI content bat buoc.","Web editor"
"editor.itemCount","{count}개 항목","{count} items","{count} muc","Web editor"
"editor.noChangeableDesign","변경 가능한 design 없음","No changeable design","Khong co design co the doi","Web editor"
"editor.editLocked","현재 편집 잠금","Editing locked","Dang khoa chinh sua","Web editor"
"editor.selectedDesign","선택된 design","Selected design","Design da chon","Web editor"
"editor.currentDesign","현재 design","Current design","Design hien tai","Web editor"
"editor.noDesign","design 없음","No design","Khong co design","Web editor"
"editor.uiDesignCandidate","현재 session catalog 기준 UI design 후보","UI design candidates from current session catalog","Ung vien UI design tu session catalog hien tai","Web editor"
"editor.catalogDesignCandidate","현재 catalog design 후보","Current catalog design candidates","Ung vien catalog design hien tai","Web editor"
"editor.designChanged","{name} design을 {designId}(으)로 변경했습니다.","Changed {name} design to {designId}.","Da doi design {name} thanh {designId}.","Web editor"
"editor.uiDesignChanged","{objectId} UI design을 {designId}(으)로 변경했습니다.","Changed {objectId} UI design to {designId}.","Da doi UI design {objectId} thanh {designId}.","Web editor"
"editor.undoDone","이전 편집으로 되돌렸습니다.","Reverted to the previous edit.","Da hoan tac ve chinh sua truoc.","Web editor"
"editor.redoDone","다시 적용했습니다.","Redone.","Da lam lai.","Web editor"
"editor.environmentDuplicated","{count}개 환경 오브젝트를 복제했습니다.","Duplicated {count} environment objects.","Da nhan doi {count} object moi truong.","Web editor"
"editor.environmentDeleted","{count}개 환경 오브젝트를 삭제했습니다.","Deleted {count} environment objects.","Da xoa {count} object moi truong.","Web editor"
"contentStore.loading","콘텐츠 스토어를 불러오는 중입니다.","Loading Content Store.","Dang tai Content Store.","Web Content Store"
"contentStore.loginRequiredFromUnity","Unity에서 Authoring Server를 다시 열거나 로그인 후 이용해주세요.","Reopen Authoring Server from Unity or sign in to continue.","Mo lai Authoring Server tu Unity hoac dang nhap de tiep tuc.","Web Content Store"
"contentStore.jobsActive","{count}개 진행 중","{count} active","{count} dang chay","Web Content Store"
"contentStore.recentJobResults","최근 작업 결과","Recent job results","Ket qua tac vu gan day","Web Content Store"
"contentStore.jobChecking","작업 상태를 확인하는 중입니다.","Checking job status.","Dang kiem tra trang thai tac vu.","Web Content Store"
"contentStore.canceling","취소 중","Canceling","Dang huy","Web Content Store"
"contentStore.allInGroup","{label} 전체","All {label}","Tat ca {label}","Web Content Store"
"contentStore.allGroups","대분류 전체","All groups","Tat ca nhom","Web Content Store"
"contentStore.allSubgroups","소분류 전체","All subgroups","Tat ca nhom con","Web Content Store"
"contentStore.noPackages","표시할 콘텐츠 패키지가 없습니다.","No content packages to display.","Khong co package noi dung de hien thi.","Web Content Store"
"contentStore.noMyPackages","내가 업로드한 패키지가 없습니다.","You have no uploaded packages.","Ban chua tai package nao.","Web Content Store"
"contentStore.adminRequired","관리자 권한이 필요합니다.","Admin permission required.","Can quyen quan tri.","Web Content Store"
"contentStore.noReviewPackages","리뷰할 패키지가 없습니다.","No packages to review.","Khong co package can review.","Web Content Store"
"contentStore.packageCountSuffix","개 패키지"," packages"," package","Web Content Store"
"contentStore.browseHint","Unity 설치 가능한 콘텐츠를 탐색하세요.","Browse content that can be installed in Unity.","Duyet noi dung co the cai vao Unity.","Web Content Store"
"contentStore.detailAria","{title} 상세 보기","View details for {title}","Xem chi tiet {title}","Web Content Store"
"contentStore.noVersion","버전 없음","No version","Khong co version","Web Content Store"
"contentStore.noDescription","설명이 없습니다.","No description.","Khong co mo ta.","Web Content Store"
"contentStore.noUploader","uploader 없음","No uploader","Khong co uploader","Web Content Store"
"contentStore.validationFailed","검증 실패","Validation failed","Kiem tra that bai","Web Content Store"
"contentStore.validationPassed","검증 완료","Validation passed","Kiem tra thanh cong","Web Content Store"
"contentStore.approve","승인","Approve","Duyet","Web Content Store"
"contentStore.reject","반려","Reject","Tu choi","Web Content Store"
"contentStore.promoteBuiltin","기본 제공","Make built-in","Dat built-in","Web Content Store"
"contentStore.alreadyInstalled","이미 있음","Already installed","Da co","Web Content Store"
"contentStore.installedDifferentVersion","최신 버전으로 업데이트","Update to latest version","Cap nhat len phien ban moi nhat","Web Content Store"
"contentStore.installSelectedVersion","이 버전으로 변경","Switch to this version","Doi sang phien ban nay","Web Content Store"
"contentStore.updateRequired","업데이트 필요","Update required","Can cap nhat","Web Content Store"
"contentStore.installQueued","설치 대기 중","Install queued","Cai dat dang cho","Web Content Store"
"contentStore.installUnavailable","설치 불가","Install unavailable","Khong the cai","Web Content Store"
"contentStore.installToUnity","Unity에 설치","Install to Unity","Cai vao Unity","Web Content Store"
"contentStore.thumbnail","대표 이미지","Thumbnail","Anh dai dien","Web Content Store"
"contentStore.gallery","갤러리 {index}","Gallery {index}","Gallery {index}","Web Content Store"
"contentStore.storeImages","스토어 이미지","Store images","Anh store","Web Content Store"
"contentStore.upload","업로드","Upload","Tai len","Web Content Store"
"contentStore.jobRefreshFailed","작업 상태를 갱신하지 못했습니다.","Could not refresh job status.","Khong the lam moi trang thai tac vu.","Web Content Store"
"contentStore.cancelFailed","작업 취소에 실패했습니다.","Could not cancel the job.","Khong the huy tac vu.","Web Content Store"
"contentStore.installRegistering","{title} Unity 설치 작업을 등록하는 중입니다.","Registering Unity install job for {title}.","Dang dang ky tac vu cai Unity cho {title}.","Web Content Store"
"contentStore.alreadyInUnityProject","이미 Unity 프로젝트에 있습니다.","Already in the Unity project.","Da co trong du an Unity.","Web Content Store"
"contentStore.installQueuedDone","Unity 설치 큐에 등록했습니다.","Added to the Unity install queue.","Da them vao hang doi cai Unity.","Web Content Store"
"contentStore.rejectReasonPrompt","반려 사유","Reject reason","Ly do tu choi","Web Content Store"
"contentStore.rejectReasonDefault","검증 또는 정책 조건을 만족하지 않습니다.","Validation or policy requirements are not met.","Khong dat yeu cau kiem tra hoac chinh sach.","Web Content Store"
"contentStore.packageStatusUpdated","{packageId} 상태를 업데이트했습니다.","Updated status for {packageId}.","Da cap nhat trang thai {packageId}.","Web Content Store"
"contentStore.mediaUpdated","{slot} 이미지를 업데이트했습니다.","Updated {slot} image.","Da cap nhat anh {slot}.","Web Content Store"
"contentStore.mediaDeleted","{slot} 이미지를 삭제했습니다.","Deleted {slot} image.","Da xoa anh {slot}.","Web Content Store"
"contentStore.contentKind","콘텐츠 구분","Content kind","Loai noi dung","Web Content Store"
"contentStore.group","대분류","Group","Nhom","Web Content Store"
"contentStore.subgroup","소분류","Subgroup","Nhom con","Web Content Store"
"contentStore.project","프로젝트","Project","Du an","Web Content Store"
"contentStore.installable","설치 가능","Installable","Co the cai","Web Content Store"
"contentStore.workFailed","작업에 실패했습니다.","Work failed.","Tac vu that bai.","Web Content Store"
"contentStore.feature","기능","Feature","Tinh nang","Web Content Store"
"contentStore.projectDefault","프로젝트 기본","Project default","Mac dinh du an","Web Content Store"
"contentStore.draft","초안","Draft","Ban nhap","Web Content Store"
"contentStore.unityInstall","Unity 설치","Unity install","Cai Unity","Web Content Store"
"contentStore.job","작업","Job","Tac vu","Web Content Store"
"clipboard.connectionCopied","연결 상태를 복사했습니다.","Connection state copied.","Da sao chep trang thai ket noi.","Web clipboard"
"clipboard.connectionCopyFailed","연결 상태를 복사하지 못했습니다.","Could not copy connection state.","Khong the sao chep trang thai ket noi.","Web clipboard"
"clipboard.selectionCopied","선택 정보를 복사했습니다.","Selection info copied.","Da sao chep thong tin lua chon.","Web clipboard"
"clipboard.selectionCopyFailed","선택 정보를 복사하지 못했습니다.","Could not copy selection info.","Khong the sao chep thong tin lua chon.","Web clipboard"
"clipboard.conflictsCopied","검사 결과를 복사했습니다.","Check result copied.","Da sao chep ket qua kiem tra.","Web clipboard"
"clipboard.conflictsCopyFailed","검사 결과를 복사하지 못했습니다.","Could not copy check result.","Khong the sao chep ket qua kiem tra.","Web clipboard"
"clipboard.playableInfoCopied","플레이어블 정보를 복사했습니다.","Playable info copied.","Da sao chep thong tin playable.","Web clipboard"
"clipboard.playableInfoCopyFailed","플레이어블 정보를 복사하지 못했습니다. 브라우저 권한을 확인해주세요.","Could not copy playable info. Check browser permission.","Khong the sao chep thong tin playable. Kiem tra quyen trinh duyet.","Web clipboard"
"clipboard.chatCopied","채팅 상세를 복사했습니다.","Chat details copied.","Da sao chep chi tiet chat.","Web clipboard"
"clipboard.chatCopyFailed","채팅 상세를 복사하지 못했습니다. 브라우저 권한을 확인해주세요.","Could not copy chat details. Check browser permission.","Khong the sao chep chi tiet chat. Kiem tra quyen trinh duyet.","Web clipboard"
"clipboard.reportCopied","생성 리포트 세부 메시지를 복사했습니다.","Generation report details copied.","Da sao chep chi tiet bao cao tao.","Web clipboard"
"clipboard.reportCopyFailed","세부 메시지를 복사하지 못했습니다. 브라우저 권한을 확인해주세요.","Could not copy details. Check browser permission.","Khong the sao chep chi tiet. Kiem tra quyen trinh duyet.","Web clipboard"
"contentStore.subscriptionRequired","구독 필요","Subscription required","Can dang ky","Unity Content Store"
"contentStore.noLoadedPackages","불러온 패키지가 없습니다.","No packages loaded.","Chua tai package nao.","Unity Content Store"
"contentStore.catalogLoadedCount","Content Store catalog를 불러왔습니다: {0}개 패키지","Content Store catalog loaded: {0} packages","Da tai catalog Content Store: {0} package","Unity Content Store"
"contentStore.downloadQueuedPackage","Download Queue에 추가됨: {0}","Added to Download Queue: {0}","Da them vao Download Queue: {0}","Unity Content Store"
"contentStore.downloadQueued","download queued","download queued","download queued","Unity Content Store"
"contentStore.downloadQueueAddedCount","{0}개 패키지를 Download Queue에 추가했습니다.","Added {0} packages to Download Queue.","Da them {0} package vao Download Queue.","Unity Content Store"
"contentStore.downloadQueueNoSelection","Download Queue에 선택된 패키지가 없습니다.","No packages selected in Download Queue.","Khong co package nao duoc chon trong Download Queue.","Unity Content Store"
"contentStore.downloadQueueStarted","Download Queue 시작","Download Queue started","Download Queue da bat dau","Unity Content Store"
"contentStore.serverInstallJobQueued","서버 install job 등록됨: {0}","Server install job queued: {0}","Da dang ky job install tren server: {0}","Unity Content Store"
"contentStore.installJobQueued","Install job 등록됨: {0}","Install job queued: {0}","Da dang ky install job: {0}","Unity Content Store"
"contentStore.downloadFailed","다운로드 실패: {0}","Download failed: {0}","Tai xuong that bai: {0}","Unity Content Store"
"contentStore.downloadQueueComplete","Download Queue 완료: {0} server jobs queued, {1} failed, {2} skipped","Download Queue complete: {0} server jobs queued, {1} failed, {2} skipped","Download Queue hoan tat: {0} job server da them, {1} loi, {2} bo qua","Unity Content Store"
"contentStore.packageMetadataMissing","package metadata가 없습니다.","Package metadata is missing.","Thieu metadata package.","Unity Content Store"
"contentStore.installJobIdMissing","install queue 응답에서 job id를 확인하지 못했습니다.","Could not find job id in install queue response.","Khong tim thay job id trong phan hoi install queue.","Unity Content Store"
"contentStore.installQueueRequestFailedHttp","install queue 요청 실패: HTTP {0} {1}","Install queue request failed: HTTP {0} {1}","Yeu cau install queue that bai: HTTP {0} {1}","Unity Content Store"
"contentStore.manageProjectDescription","Unity 로컬 콘텐츠와 서버 등록 상태를 비교하고 업로드합니다.","Compare Unity local content with server registration status and upload changes.","So sanh noi dung cuc bo Unity voi trang thai dang ky server va tai len thay doi.","Unity Content Store"
"contentStore.projectContentDescription","서버 상태를 확인하고 관리할 로컬 콘텐츠를 고르세요.","Check server status and choose local content to manage.","Kiem tra trang thai server va chon noi dung cuc bo de quan ly.","Unity Content Store"
"contentStore.useSelection","선택 항목 사용","Use Selection","Dung lua chon","Unity Content Store"
"contentStore.uploadable","업로드 가능","Uploadable","Co the tai len","Unity Content Store"
"contentStore.queueChanged","변경 담기","Queue Changes","Them thay doi","Unity Content Store"
"contentStore.clear","비우기","Clear","Xoa sach","Unity Content Store"
"contentStore.validate","검사","Check","Kiem tra","Unity Content Store"
"contentStore.noCatalogEntries","검색 결과가 없습니다.","No search results.","Khong co ket qua tim kiem.","Unity Content Store"
"contentStore.selectedContentDescription","선택한 로컬 콘텐츠와 서버 최신 상태를 함께 보여줍니다.","Shows selected local content alongside latest server state.","Hien noi dung cuc bo da chon cung trang thai server moi nhat.","Unity Content Store"
"contentStore.selectContentToUpload","왼쪽에서 업로드할 콘텐츠를 선택하세요.","Select content to upload on the left.","Chon noi dung de tai len o ben trai.","Unity Content Store"
"contentStore.displayName","표시 이름","Display name","Ten hien thi","Unity Content Store"
"contentStore.description","설명","Description","Mo ta","Unity Content Store"
"contentStore.version","버전","Version","Phien ban","Unity Content Store"
"contentStore.subscribeAllUsers","전체 사용자 구독","Subscribe all users","Dang ky tat ca nguoi dung","Unity Content Store"
"contentStore.serverCatalogLoadFailed","서버 catalog를 불러오지 못했습니다: {0}","Could not load server catalog: {0}","Khong the tai catalog server: {0}","Unity Content Store"
"contentStore.selectProjectContentRoot","Project에서 content root 폴더 또는 feature asset을 선택하세요.","Select a content root folder or feature asset in Project.","Chon thu muc content root hoac feature asset trong Project.","Unity Content Store"
"contentStore.selectionNotFeatureOrFolder","선택 항목이 feature asset 또는 폴더가 아닙니다: {0}","Selection is not a feature asset or folder: {0}","Lua chon khong phai feature asset hoac thu muc: {0}","Unity Content Store"
"contentStore.selectionOutsideContentRoots","선택 항목이 Assets/AIPS/Contents/{themeId}/built_in, Assets/AIPS/Contents/{themeId}/features/{featureType}/{designId}, 또는 Assets/AIPS/Shared/{themeId} 아래에 있지 않습니다: {0}","Selection is not under Assets/AIPS/Contents/{themeId}/built_in, Assets/AIPS/Contents/{themeId}/features/{featureType}/{designId}, or Assets/AIPS/Shared/{themeId}: {0}","Lua chon khong nam duoi Assets/AIPS/Contents/{themeId}/built_in, Assets/AIPS/Contents/{themeId}/features/{featureType}/{designId}, hoac Assets/AIPS/Shared/{themeId}: {0}","Unity Content Store"
"contentStore.unsupported","지원 안함","Unsupported","Khong ho tro","Unity Content Store"
"contentStore.selected","선택됨","Selected","Da chon","Unity Content Store"
"contentStore.noGeneratedEntryUnderRoot","선택한 root 아래에서 generated catalog entry를 찾지 못했습니다. Catalog를 먼저 Refresh하세요: {0}","Could not find a generated catalog entry under the selected root. Refresh the catalog first: {0}","Khong tim thay generated catalog entry duoi root da chon. Hay Refresh catalog truoc: {0}","Unity Content Store"
"contentStore.changedQueuedSummary","{0}개 변경 콘텐츠를 업로드 목록에 담았습니다. 최신 상태 {1}개는 제외했습니다.","Queued {0} changed content items. Excluded {1} up-to-date items.","Da them {0} noi dung thay doi vao danh sach tai len. Bo qua {1} muc moi nhat.","Unity Content Store"
"contentStore.uploadQueueNoSelection","업로드 목록에 선택된 콘텐츠가 없습니다.","No content selected in Upload Queue.","Khong co noi dung nao duoc chon trong Upload Queue.","Unity Content Store"
"contentStore.skipLatest","파일 내용이 서버 최신 버전과 같아 업로드를 건너뜁니다. Label만 바꾼 경우 새 업로드 대상이 아닙니다.","Skipped because the files match the latest server version. Label-only changes do not create a new upload.","Bo qua vi noi dung file giong phien ban moi nhat tren may chu. Chi doi Label se khong tao upload moi.","Unity Content Store"
"contentStore.validationDoneWithState","검사 완료 · {0}","Validation complete · {0}","Kiem tra xong · {0}","Unity Content Store"
"contentStore.uploadValidationSummary","업로드 검사 완료: {0}개 가능, {1}개 실패","Upload validation complete: {0} available, {1} failed","Kiem tra upload xong: {0} co the, {1} loi","Unity Content Store"
"contentStore.uploadStarting","업로드를 시작합니다.","Starting upload.","Bat dau tai len.","Unity Content Store"
"contentStore.uploadingPackage","업로드 중: {0}","Uploading: {0}","Dang tai len: {0}","Unity Content Store"
"contentStore.uploadJobIdMissing","upload queue 응답에서 job id를 확인하지 못했습니다.","Could not find job id in upload queue response.","Khong tim thay job id trong phan hoi upload queue.","Unity Content Store"
"contentStore.serverUploadJobQueued","서버 upload job 등록됨: {0}","Server upload job queued: {0}","Da dang ky upload job tren server: {0}","Unity Content Store"
"unity.tooltip.generatedBinding","생성 파이프라인이 자동으로 바인딩한 참조입니다. 이 인스펙터에서는 직접 수정하지 않습니다.","This reference is automatically bound by the generation pipeline and is not edited directly in this inspector.","Tham chieu nay duoc pipeline tao tu dong gan va khong chinh truc tiep trong inspector nay.","Unity Inspector"
"auth.serverUrlMissing","AIPS 서버 URL이 설정되지 않았습니다.","AIPS server URL is not configured.","Chua cau hinh URL server AIPS.","Unity auth"
"auth.savedLoginMissing","저장된 로그인이 없습니다.","No saved login was found.","Khong tim thay dang nhap da luu.","Unity auth"
"auth.savedLoginRequestFailed","저장된 로그인 확인 요청에 실패했습니다.\n\n{0}","Saved login check request failed.\n\n{0}","Yeu cau kiem tra dang nhap da luu that bai.\n\n{0}","Unity auth"
"auth.savedAuthExpired","저장된 인증이 만료되었습니다.","Saved authentication expired.","Xac thuc da luu het han.","Unity auth"
"auth.savedLoginCheckFailed","저장된 로그인 확인에 실패했습니다.\n\n{0}","Saved login check failed.\n\n{0}","Kiem tra dang nhap da luu that bai.\n\n{0}","Unity auth"
"dialog.generatedCatalogRefreshFailed","자동 생성 카탈로그 갱신에 실패했습니다. Console 로그를 확인하세요.","Generated catalog refresh failed. Check the Console log.","Lam moi generated catalog that bai. Kiem tra Console log.","Unity dialog"
"auth.tokenMissing","Authoring Server 인증 토큰을 확인하지 못했습니다.","Could not find the Authoring Server auth token.","Khong tim thay auth token Authoring Server.","Unity auth"
"auth.reconnectSuccessWithName","{0} 계정 플레이어블 홈으로 다시 연결했습니다.","Reconnected to the playable home for {0}.","Da ket noi lai vao playable home cho {0}.","Unity auth"
"auth.reconnectSuccess","서버 연결을 다시 확인했고 플레이어블 홈을 열었습니다.","Server connection checked and playable home opened.","Da kiem tra lai ket noi server va mo playable home.","Unity auth"
"auth.generatedCatalogBuildFailed","Generated Content Catalog를 현재 카탈로그로 만들지 못했습니다.\n\n{0}","Could not make Generated Content Catalog the current catalog.\n\n{0}","Khong the dat Generated Content Catalog lam catalog hien tai.\n\n{0}","Unity auth"
"auth.serverUnavailable","AIPS 서버에 연결할 수 없습니다. 서버가 실행 중인지 확인한 뒤 다시 시도하세요.","Cannot connect to the AIPS server. Check that the server is running, then try again.","Khong the ket noi server AIPS. Kiem tra server dang chay roi thu lai.","Unity auth"
"auth.serverConnectionUnknown","AIPS 서버 연결 상태를 확인하지 못했습니다.","Could not check AIPS server connection state.","Khong the kiem tra trang thai ket noi server AIPS.","Unity auth"
"auth.serverTokenMissing","서버가 auth token을 반환하지 않았습니다.","Server did not return an auth token.","Server khong tra ve auth token.","Unity auth"
"auth.googleServerConnectFailed","Google 로그인 서버 연결에 실패했습니다.\n\n{0}","Google login server connection failed.\n\n{0}","Ket noi server dang nhap Google that bai.\n\n{0}","Unity auth"
"auth.loginGoogle","Google로 시작","Start with Google","Bat dau voi Google","Unity auth"
"auth.studioOpenedCloseTab","Studio가 열렸습니다. 브라우저 탭의 X를 눌러 닫아주세요.","Studio is open. Close this browser tab with the X button.","Studio da mo. Dong tab trinh duyet bang nut X.","Unity auth"
"auth.checkUnityConsoleIfStuck","계속 이 화면이면 Unity Console의 로그인 오류를 확인해주세요.","If this screen stays open, check login errors in the Unity Console.","Neu man hinh nay van hien, kiem tra loi dang nhap trong Unity Console.","Unity auth"
"auth.checkingGoogleAccount","Google 계정을 확인하고 있습니다.","Checking your Google account.","Dang kiem tra tai khoan Google.","Unity auth"
"auth.returnUnityRetry","Unity로 돌아가 다시 시도해주세요.","Return to Unity and try again.","Quay lai Unity va thu lai.","Unity auth"
"postBake.flowLead","문서처럼 한 단계씩 읽으면서 조정합니다.","Adjust the flow step by step like a document.","Dieu chinh flow tung buoc nhu tai lieu.","Unity Post-Bake"
"postBake.selectedStepMissing","선택한 단계를 찾지 못했습니다.","Could not find the selected step.","Khong tim thay buoc da chon.","Unity Post-Bake"
"postBake.connectedActionsLead","이 단계에 붙어 있는 작업 중, 실제로 조정할 수 있는 작업만 아래에 표시합니다.","Only editable actions connected to this step are shown below.","Chi hien cac action co the chinh sua gan voi buoc nay.","Unity Post-Bake"
"postBake.enterCondition","시작 조건","Enter condition","Dieu kien vao","Unity Post-Bake"
"postBake.completeCondition","완료 조건","Complete condition","Dieu kien hoan tat","Unity Post-Bake"
"status.complete","완료","Complete","Hoan tat","Status label"
"status.success","성공","Success","Thanh cong","Status label"
"status.blocked","중단","Blocked","Bi chan","Status label"
"status.working","작업 중","Working","Dang lam viec","Status label"
"status.offline","오프라인","Offline","Offline","Status label"
"status.unavailable","사용 불가","Unavailable","Khong kha dung","Status label"
"bridge.unityControlConnected","Unity 제어 연결됨","Unity control connected","Da ket noi dieu khien Unity","Web bridge"
"bridge.serverConnected","서버 연결됨","Server connected","Da ket noi server","Web bridge"
"workflow.previewPreparing","프리뷰 이미지를 준비하는 중입니다.","Preparing the preview image.","Dang chuan bi anh preview.","Web workflow"
"workflow.previewDownloaded","프리뷰 이미지를 다운로드했습니다.","Preview image downloaded.","Da tai anh preview.","Web workflow"
"workflow.previewDownloadFailed","프리뷰 이미지를 다운로드하지 못했습니다.","Could not download the preview image.","Khong the tai anh preview.","Web workflow"
"workflow.generateBlockedStaleInspection","최신 검사 상태가 아니어서 생성을 시작하지 않았습니다. 먼저 Save + Check로 상태를 최신화해주세요.","Generation was not started because validation is stale. Run Save + Check first.","Chua bat dau tao vi kiem tra da cu. Hay chay Save + Check truoc.","Web workflow"
"workflow.generateBlockedRuntimeCompatibility","Unity runtime compatibility가 맞지 않아 생성을 시작하지 않았습니다.","Generation was not started because Unity runtime compatibility does not match.","Chua bat dau tao vi tuong thich runtime Unity khong khop.","Web workflow"
"workflow.generateStarting","생성을 시작하는 중입니다.","Starting generation.","Dang bat dau tao.","Web workflow"
"workflow.generateNotStartedServer","생성 요청이 서버에서 시작되지 않았습니다. 세부 메시지 복사 후 서버 상태를 확인해주세요.","The generation request did not start on the server. Copy details and check server status.","Yeu cau tao chua bat dau tren server. Sao chep chi tiet va kiem tra server.","Web workflow"
"workflow.generateStarted","생성을 시작했습니다.","Generation started.","Da bat dau tao.","Web workflow"
"workflow.generateStatusRefreshed","생성 상태를 갱신했습니다.","Generation status refreshed.","Da lam moi trang thai tao.","Web workflow"
"workflow.generateFailed","Playable 생성에 실패했습니다.","Playable generation failed.","Tao Playable that bai.","Web workflow"
"workflow.bakeFailed","Unity Bake에 실패했습니다.","Unity Bake failed.","Unity Bake that bai.","Web workflow"
"workflow.layoutCheckRunning","배치 검사를 실행하고 있습니다.","Running layout validation.","Dang chay kiem tra layout.","Web workflow"
"workflow.generateStoppedBlockers","검사에서 차단 항목 {count}건이 발견되어 생성을 중단했습니다.","Generation stopped because validation found {count} blockers.","Dung tao vi kiem tra tim thay {count} muc chan.","Web workflow"
"workflow.generateStoppedBlockersShort","검사에서 차단 항목이 발견되어 생성을 중단했습니다.","Generation stopped because validation found blockers.","Dung tao vi kiem tra tim thay muc chan.","Web workflow"
"workflow.checkPassedProceedGenerate","검사를 통과했습니다. 생성으로 진행합니다.","Validation passed. Continuing to generation.","Kiem tra thanh cong. Tiep tuc tao.","Web workflow"
"workflow.generateNotStartedSession","생성 요청이 시작되지 않았습니다. 세부 메시지 복사 후 현재 플레이어블 상태를 확인해주세요.","The generation request did not start. Copy details and check the current playable state.","Yeu cau tao chua bat dau. Sao chep chi tiet va kiem tra trang thai playable hien tai.","Web workflow"
"workflow.generateStartFailed","생성을 시작하지 못했습니다.","Could not start generation.","Khong the bat dau tao.","Web workflow"
"workflow.reportSubtitleGenerate","{sessionId} 플레이어블을 검사하고 생성합니다.","Validates and generates playable {sessionId}.","Kiem tra va tao playable {sessionId}.","Web workflow"
"workflow.reportSubtitleSave","{sessionId} 플레이어블의 layout을 저장합니다.","Saves the layout for playable {sessionId}.","Luu layout cho playable {sessionId}.","Web workflow"
"workflow.reportSubtitleCheck","{sessionId} 플레이어블의 저장과 HTML 기준 검사를 실행합니다.","Saves playable {sessionId} and runs HTML validation.","Luu playable {sessionId} va chay kiem tra HTML.","Web workflow"
"workflow.step.save","저장","Save","Luu","Web workflow"
"workflow.step.check","검사","Check","Kiem tra","Web workflow"
"workflow.step.bake","베이크","Bake","Bake","Web workflow"
"workflow.metaUpdated","업데이트 {value}","Updated {value}","Cap nhat {value}","Web workflow"
"workflow.metaStage","단계 {value}","Stage {value}","Buoc {value}","Web workflow"
"workflow.metaProgress","진행률 {value}","Progress {value}","Tien do {value}","Web workflow"
"workflow.saveWaiting","저장 작업을 기다리고 있습니다.","Waiting for save.","Dang cho luu.","Web workflow"
"workflow.checkRunsBeforeGenerate","생성을 누르면 배치 검사를 먼저 실행합니다.","Running Generate starts layout validation first.","Nhan Generate se chay kiem tra layout truoc.","Web workflow"
"workflow.saveCompleteTitle","저장을 완료했습니다.","Save complete.","Luu hoan tat.","Web workflow"
"workflow.saveFailedTitle","저장에 실패했습니다.","Save failed.","Luu that bai.","Web workflow"
"workflow.saveProgressTitle","저장 진행 상황을 확인해주세요.","Check save progress.","Kiem tra tien do luu.","Web workflow"
"workflow.saveReadyTitle","저장 준비 중입니다.","Ready to save.","San sang luu.","Web workflow"
"workflow.saveRequestFailedTitle","저장 요청을 완료하지 못했습니다.","Could not complete the save request.","Khong the hoan tat yeu cau luu.","Web workflow"
"workflow.saveRunningTitle","저장을 진행하고 있습니다.","Saving in progress.","Dang luu.","Web workflow"
"workflow.savingLayoutShort","layout을 저장합니다.","Saving layout.","Dang luu layout.","Web workflow"
"workflow.checkFailedTitle","검증에 실패했습니다.","Validation failed.","Kiem tra that bai.","Web workflow"
"workflow.checkBlockedTitle","검증에서 차단 항목이 발견되었습니다.","Validation found blockers.","Kiem tra tim thay muc chan.","Web workflow"
"workflow.checkCompleteTitle","검증을 완료했습니다.","Validation complete.","Kiem tra hoan tat.","Web workflow"
"workflow.checkProgressTitle","검증 진행 상황을 확인해주세요.","Check validation progress.","Kiem tra tien do kiem tra.","Web workflow"
"workflow.checkReadyTitle","검증 준비 중입니다.","Ready to validate.","San sang kiem tra.","Web workflow"
"workflow.saveStepFailedTitle","저장 단계에서 실패했습니다.","Save step failed.","Buoc luu that bai.","Web workflow"
"workflow.checkRequestFailedTitle","검증 요청을 완료하지 못했습니다.","Could not complete the validation request.","Khong the hoan tat yeu cau kiem tra.","Web workflow"
"workflow.checkRunningTitle","검증을 진행하고 있습니다.","Validation in progress.","Dang kiem tra.","Web workflow"
"workflow.checkAfterSave","저장 후 HTML 기준 검사를 실행합니다.","Runs HTML validation after saving.","Chay kiem tra HTML sau khi luu.","Web workflow"
"workflow.actionRequestFailed","{title} 요청을 처리하지 못했습니다.","Could not process the {title} request.","Khong the xu ly yeu cau {title}.","Web workflow"
"workflow.generateRequestSending","생성 요청을 전송하고 있습니다.","Sending generation request.","Dang gui yeu cau tao.","Web workflow"
"workflow.bakeAfterGenerate","Playable 생성이 완료되면 Unity bake가 이어집니다.","Unity Bake starts after Playable generation completes.","Unity Bake se chay sau khi tao Playable xong.","Web workflow"
"workflow.startsAfterCheck","검사 완료 후 자동으로 시작됩니다.","Starts automatically after validation completes.","Tu dong bat dau sau khi kiem tra xong.","Web workflow"
"workflow.waitingForStatus","{title} 상태를 기다리고 있습니다.","Waiting for {title} status.","Dang cho trang thai {title}.","Web workflow"
"workflow.generationCompleteTitle","생성이 완료되었습니다.","Generation complete.","Tao hoan tat.","Web workflow"
"workflow.generationFailedTitle","생성에 실패했습니다.","Generation failed.","Tao that bai.","Web workflow"
